side,entry_date,exit_date,hold_legs,move
L,2026-02-25,2026-03-19,16,-0.033921
L,2026-03-25,2026-04-15,14,0.024256
L,2026-04-21,2026-04-23,2,0.002
L,2026-04-29,2026-05-12,6,0.026045
S,2026-06-12,2026-06-15,1,-0.016113
L,2026-06-17,2026-06-24,4,0.000665
S,2026-07-08,2026-07-20,8,0.04397
L,2026-07-21,2026-07-23,2,0.003211
L,2026-07-29,2026-08-13,11,0.025726
