rank,q,k,alias,n,acc,avg,vol,sharpe,bull_n,bull_avg,bear_n,bear_avg,half1_avg,half2_avg,qual,basis
1,7/10,3,"q=7/10 · k∈{1,2,3,4,5,7}",30,0.7667,0.978,1.6429,0.5953,24,0.9492,6,1.0933,0.5882,1.2037,达标,N≥30 平均分最优
2,2/3,3,"q=2/3 · k∈{1,2,3,4,5,7}",46,0.6739,0.7498,1.6453,0.4557,37,0.6011,9,1.3611,0.3923,1.0775,达标,基线（现行 live 口径）
3,3/5,3,"q=3/5 · k∈{1,2,3,4,5,7}",87,0.6207,0.5652,1.7703,0.3193,58,0.4369,29,0.8217,0.3639,0.7446,达标,
4,1/2,3,"q=1/2 · k∈{1,2,3,4,5,7}",139,0.6043,0.4212,1.8023,0.2337,87,0.3043,52,0.6167,0.1536,0.6701,达标,
5,9/10,3,"q=9/10 · k∈{1,2,3,4,5,7}",1,1.0,2.86,0.0,,1,2.86,0,0.0,,2.86,N=1 < 20,
6,3/4,3,"q=3/4 · k∈{1,2,3,4,5,7}",15,0.8667,1.1173,1.7835,0.6265,13,1.51,2,-1.435,0.7317,1.3744,N=15 < 20,
7,4/5,3,"q=4/5 · k∈{1,2,3,4,5,7}",6,0.8333,0.5733,2.0954,0.2736,5,1.34,1,-3.26,0.59,0.565,N=6 < 20,
