rule,variant,variant_word,q_open,q_exit,mode,mode_word,total_return,annualized,buyhold_return,excess,sharpe,bh_sharpe,mdd,n_roundtrips,n_long_rt,n_short_rt,win_rate,in_market_legs,in_market_frac,avg_hold_legs,n_days
滞回,Q10,滞回·开/平双门Q10,10,10,long_only,仅做多,0.13176,0.231139,0.027664,0.104096,1.4294,0.3038,0.101692,7,7,0,0.7143,55,0.3691,7.86,150
滞回,Q10,滞回·开/平双门Q10,10,10,long_and_short,多空双向,0.256803,0.468145,0.027664,0.22914,2.0125,0.3038,0.101692,9,7,2,0.6667,64,0.4295,7.11,150
滞回,fixed,滞回·无门槛,0,0,long_only,仅做多,0.208267,0.374149,0.027664,0.180604,2.1628,0.3038,0.076793,8,8,0,0.75,54,0.3624,6.75,150
滞回,fixed,滞回·无门槛,0,0,long_and_short,多空双向,0.341764,0.638686,0.027664,0.3141,2.5777,0.3038,0.076793,10,8,2,0.7,63,0.4228,6.3,150
