side,entry_dt,entry_px,exit_dt,exit_px
L,2026-04-15 09:30:00+08:00,4039.471,2026-04-16 09:30:00+08:00,4030.138
S,2026-04-17 13:00:00+08:00,4043.923,2026-04-20 09:30:00+08:00,4053.374
L,2026-04-21 09:30:00+08:00,4075.845,2026-04-21 10:30:00+08:00,4068.53
L,2026-04-24 09:30:00+08:00,4081.033,2026-04-27 13:00:00+08:00,4086.543
S,2026-04-28 09:30:00+08:00,4076.143,2026-04-29 09:30:00+08:00,4061.822
L,2026-05-06 09:30:00+08:00,4135.45,2026-05-07 09:30:00+08:00,4168.447
L,2026-05-07 13:00:00+08:00,4171.435,2026-05-08 09:30:00+08:00,4163.854
L,2026-05-11 09:30:00+08:00,4201.346,2026-05-14 09:30:00+08:00,4256.157
L,2026-05-19 09:30:00+08:00,4122.961,2026-05-20 09:30:00+08:00,4152.698
L,2026-05-21 09:30:00+08:00,4174.377,2026-05-22 09:30:00+08:00,4096.172
S,2026-05-29 09:30:00+08:00,4110.521,2026-06-01 09:30:00+08:00,4067.158
S,2026-06-02 09:30:00+08:00,4061.463,2026-06-03 09:30:00+08:00,4068.341
S,2026-06-04 09:30:00+08:00,4053.67,2026-06-04 15:00:00+08:00,4057.781
S,2026-06-08 09:30:00+08:00,3938.709,2026-06-09 09:30:00+08:00,3977.539
L,2026-06-09 09:30:00+08:00,3977.539,2026-06-10 09:30:00+08:00,3985.124
S,2026-06-10 09:30:00+08:00,3985.124,2026-06-11 09:30:00+08:00,3979.706
L,2026-06-12 09:30:00+08:00,4017.865,2026-06-15 13:00:00+08:00,4068.644
S,2026-06-17 09:30:00+08:00,4074.291,2026-06-22 09:30:00+08:00,4093.955
S,2026-06-26 09:30:00+08:00,4098.686,2026-06-30 09:30:00+08:00,4058.17
L,2026-06-30 13:00:00+08:00,4082.779,2026-07-01 13:30:00+08:00,4125.739
S,2026-07-02 09:30:00+08:00,4054.086,2026-07-03 09:30:00+08:00,4031.335
L,2026-07-06 15:00:00+08:00,4041.238,2026-07-07 09:30:00+08:00,4019.494
S,2026-07-07 13:00:00+08:00,3998.86,2026-07-09 09:30:00+08:00,3977.547
