day,open,high,low,close,volume,amount
2026-07-27 14:02:00,4654.875,4655.218,4651.441,4652.763,51884100,1436614656.0000
2026-07-27 14:03:00,4652.540,4654.116,4652.196,4653.494,38262900,983629824.0000
2026-07-27 14:04:00,4653.236,4654.166,4653.236,4653.317,51826200,1038123008.0000
2026-07-27 14:05:00,4653.103,4657.081,4652.471,4657.081,64864400,1561821184.0000
2026-07-27 14:06:00,4657.362,4663.008,4657.362,4662.958,94190900,1795194880.0000
2026-07-27 14:07:00,4663.404,4663.902,4662.301,4662.301,61984800,1570504704.0000
2026-07-27 14:08:00,4662.021,4662.186,4660.177,4662.186,48463900,1273921536.0000
2026-07-27 14:09:00,4662.414,4665.553,4662.414,4663.756,55588000,1478426624.0000
2026-07-27 14:10:00,4663.794,4664.555,4663.254,4664.555,51446500,1287782400.0000
2026-07-27 14:11:00,4664.796,4666.583,4663.163,4666.583,46166100,1333198848.0000
2026-07-27 14:12:00,4667.118,4667.364,4663.444,4663.819,40662100,1227685888.0000
2026-07-27 14:13:00,4663.687,4663.687,4660.516,4660.905,45382900,1139179520.0000
2026-07-27 14:14:00,4661.728,4662.059,4659.676,4661.079,80020500,1519452160.0000
2026-07-27 14:15:00,4661.028,4662.432,4660.651,4662.432,40589300,1050148864.0000
2026-07-27 14:16:00,4662.455,4662.455,4661.510,4661.851,41251600,1068498944.0000
2026-07-27 14:17:00,4661.388,4661.388,4658.998,4660.290,49446400,1184595968.0000
2026-07-27 14:18:00,4660.684,4663.930,4660.024,4663.279,56321500,1312194560.0000
2026-07-27 14:19:00,4663.149,4663.836,4663.149,4663.751,72923700,1496055808.0000
2026-07-27 14:20:00,4663.550,4665.040,4662.649,4664.866,70422900,1708195840.0000
2026-07-27 14:21:00,4665.464,4665.464,4664.375,4665.019,68257300,1664745472.0000
2026-07-27 14:22:00,4665.203,4667.358,4665.113,4667.021,79933200,1896480768.0000
2026-07-27 14:23:00,4667.367,4670.205,4667.367,4669.169,87667800,2343501824.0000
2026-07-27 14:24:00,4669.486,4669.734,4668.569,4669.311,54043100,1490092032.0000
2026-07-27 14:25:00,4669.778,4670.083,4668.312,4668.602,73887100,1611890688.0000
2026-07-27 14:26:00,4668.612,4670.423,4668.612,4670.423,56000400,1593344000.0000
2026-07-27 14:27:00,4670.610,4670.610,4667.023,4668.753,49985000,1546485760.0000
2026-07-27 14:28:00,4668.659,4669.246,4668.440,4668.844,46548700,1165197312.0000
2026-07-27 14:29:00,4668.603,4670.644,4668.603,4670.572,44941700,1302691840.0000
2026-07-27 14:30:00,4670.529,4673.373,4670.529,4673.373,71219000,1822425088.0000
2026-07-27 14:31:00,4673.394,4678.277,4673.394,4678.277,105139000,2872901632.0000
2026-07-27 14:32:00,4678.164,4679.042,4675.266,4676.215,96326200,2759294976.0000
2026-07-27 14:33:00,4675.943,4682.264,4675.943,4682.264,64816400,2165014528.0000
2026-07-27 14:34:00,4682.420,4685.388,4682.420,4685.388,72386300,2518286336.0000
2026-07-27 14:35:00,4685.666,4687.361,4685.394,4686.092,121546300,3040837632.0000
2026-07-27 14:36:00,4686.084,4686.317,4685.257,4685.608,80778400,2424274944.0000
2026-07-27 14:37:00,4685.537,4685.537,4683.039,4683.929,73536200,2522775552.0000
2026-07-27 14:38:00,4684.185,4687.858,4684.122,4687.858,63839000,2451308544.0000
2026-07-27 14:39:00,4688.896,4692.926,4688.896,4692.926,96348100,3389620224.0000
2026-07-27 14:40:00,4692.910,4692.910,4690.716,4692.851,82354200,2915434496.0000
2026-07-27 14:41:00,4692.916,4695.698,4692.633,4695.698,79372800,2743336960.0000
2026-07-27 14:42:00,4695.363,4697.841,4695.363,4697.777,107620400,3557654528.0000
2026-07-27 14:43:00,4697.637,4698.018,4694.893,4694.893,124266900,3491823616.0000
2026-07-27 14:44:00,4694.801,4694.801,4692.584,4692.801,91762000,2879586304.0000
2026-07-27 14:45:00,4692.501,4694.986,4691.822,4694.579,85974000,2855796736.0000
2026-07-27 14:46:00,4695.094,4695.094,4694.253,4694.559,93238300,2751397888.0000
2026-07-27 14:47:00,4694.251,4694.251,4693.037,4693.037,79821700,2657353728.0000
2026-07-27 14:48:00,4693.090,4693.682,4692.660,4693.682,84184200,2620784640.0000
2026-07-27 14:49:00,4694.133,4697.212,4694.133,4696.714,100024400,3637313536.0000
2026-07-27 14:50:00,4696.503,4697.567,4696.503,4697.468,105780200,2885943296.0000
2026-07-27 14:51:00,4697.550,4697.550,4696.075,4696.523,189703400,3753312256.0000
2026-07-27 14:52:00,4696.447,4697.011,4696.086,4696.376,116745000,2952921088.0000
2026-07-27 14:53:00,4696.607,4699.177,4696.598,4699.177,124373300,3445424128.0000
2026-07-27 14:54:00,4699.368,4701.109,4699.328,4701.109,113310700,3546415104.0000
2026-07-27 14:55:00,4701.135,4701.135,4700.062,4700.425,124109100,3667918848.0000
2026-07-27 14:56:00,4700.468,4701.476,4700.468,4700.905,147846600,4305977344.0000
2026-07-27 14:57:00,4701.081,4701.092,4700.601,4700.821,172798900,4726128640.0000
2026-07-27 14:58:00,4701.167,4701.444,4701.167,4701.444,8760300,280494080.0000
2026-07-27 15:00:00,4702.525,4702.525,4702.427,4702.427,281368100,7039811584.0000
2026-07-28 09:31:00,4623.799,4631.116,4621.027,4622.041,661278300,23610236928.0000
2026-07-28 09:32:00,4623.612,4637.195,4623.612,4637.195,359221300,12753985536.0000
2026-07-28 09:33:00,4637.417,4638.407,4631.745,4637.313,217473100,8643112960.0000
2026-07-28 09:34:00,4636.985,4642.335,4636.985,4641.598,186621200,7142883328.0000
2026-07-28 09:35:00,4642.017,4644.128,4641.708,4644.128,224669800,7223222272.0000
2026-07-28 09:36:00,4644.634,4645.160,4643.716,4644.935,302029200,7616667648.0000
2026-07-28 09:37:00,4645.173,4646.487,4642.320,4644.203,191226900,6609465344.0000
2026-07-28 09:38:00,4644.114,4644.344,4638.917,4641.191,202028600,6603358208.0000
2026-07-28 09:39:00,4641.021,4641.842,4637.339,4640.701,194603500,6287228928.0000
2026-07-28 09:40:00,4640.489,4642.287,4633.814,4633.814,165320200,5538168832.0000
2026-07-28 09:41:00,4633.645,4637.549,4633.266,4637.549,176116200,6226722816.0000
2026-07-28 09:42:00,4638.106,4641.342,4632.320,4632.320,170531300,5297725440.0000
2026-07-28 09:43:00,4632.335,4634.577,4631.225,4633.784,176065900,5392818176.0000
2026-07-28 09:44:00,4633.123,4639.086,4631.843,4636.055,127367200,4713259008.0000
2026-07-28 09:45:00,4636.325,4636.325,4632.201,4632.559,123502500,4100440064.0000
2026-07-28 09:46:00,4632.466,4633.769,4630.365,4633.734,167542600,5365284864.0000
2026-07-28 09:47:00,4633.372,4633.372,4627.828,4629.313,148844400,5323735040.0000
2026-07-28 09:48:00,4629.318,4633.264,4628.285,4628.285,142644500,4993138688.0000
2026-07-28 09:49:00,4628.218,4630.203,4627.378,4627.378,164811300,5844385792.0000
2026-07-28 09:50:00,4626.588,4626.962,4623.517,4625.926,248644400,6457442304.0000
2026-07-28 09:51:00,4625.780,4630.024,4625.635,4625.825,167911300,4848959488.0000
