day,open,high,low,close,volume,amount
2026-07-27 14:02:00,7123.480,7124.812,7114.360,7114.821,62085200,945717248.0000
2026-07-27 14:03:00,7114.784,7119.530,7114.339,7117.644,40737400,675119104.0000
2026-07-27 14:04:00,7117.197,7118.549,7115.484,7115.484,36498800,664043520.0000
2026-07-27 14:05:00,7114.998,7120.534,7111.535,7120.534,62418500,879198208.0000
2026-07-27 14:06:00,7121.627,7132.116,7121.627,7132.116,105539400,1202061312.0000
2026-07-27 14:07:00,7133.022,7134.231,7130.281,7130.281,74775200,999784448.0000
2026-07-27 14:08:00,7129.512,7129.512,7125.343,7129.051,46009400,765100032.0000
2026-07-27 14:09:00,7129.765,7137.377,7129.765,7134.035,65913500,1106149376.0000
2026-07-27 14:10:00,7133.919,7135.182,7132.984,7134.034,39548900,675708928.0000
2026-07-27 14:11:00,7134.466,7137.955,7133.283,7137.955,42765100,749535232.0000
2026-07-27 14:12:00,7138.475,7138.851,7134.968,7134.968,42603400,723091456.0000
2026-07-27 14:13:00,7134.658,7134.658,7128.694,7128.889,45627100,748617728.0000
2026-07-27 14:14:00,7129.748,7131.439,7127.396,7127.761,72506100,940539904.0000
2026-07-27 14:15:00,7128.149,7130.991,7128.149,7130.991,47340400,636452864.0000
2026-07-27 14:16:00,7131.292,7133.800,7130.201,7133.589,54168600,760807424.0000
2026-07-27 14:17:00,7133.236,7133.236,7127.969,7129.773,45206900,770736128.0000
2026-07-27 14:18:00,7129.529,7136.226,7129.529,7136.090,45827200,775290880.0000
2026-07-27 14:19:00,7135.894,7143.219,7135.815,7143.166,49327600,924942336.0000
2026-07-27 14:20:00,7143.350,7149.042,7142.444,7149.042,55317000,952369152.0000
2026-07-27 14:21:00,7149.213,7150.702,7148.057,7150.386,49498900,895025152.0000
2026-07-27 14:22:00,7150.654,7160.602,7150.654,7160.372,62933300,1270022144.0000
2026-07-27 14:23:00,7160.241,7170.314,7160.241,7165.642,84939200,1493401600.0000
2026-07-27 14:24:00,7165.427,7165.886,7163.374,7163.583,47607000,934674432.0000
2026-07-27 14:25:00,7165.710,7166.873,7160.560,7160.560,59196400,1084817408.0000
2026-07-27 14:26:00,7160.060,7164.102,7160.060,7162.798,48295500,876085248.0000
2026-07-27 14:27:00,7162.707,7162.707,7155.806,7157.611,46793900,898007040.0000
2026-07-27 14:28:00,7157.650,7157.650,7156.274,7156.274,42641800,659914752.0000
2026-07-27 14:29:00,7156.192,7159.618,7156.166,7159.450,47087700,740196352.0000
2026-07-27 14:30:00,7159.593,7166.946,7159.593,7166.946,62042700,1133707264.0000
2026-07-27 14:31:00,7167.242,7177.171,7167.242,7177.171,96485800,1760395264.0000
2026-07-27 14:32:00,7178.487,7183.176,7173.993,7175.107,110393000,1740603392.0000
2026-07-27 14:33:00,7175.174,7183.938,7175.174,7183.938,61825700,1210941440.0000
2026-07-27 14:34:00,7185.039,7192.131,7184.510,7192.131,92728300,1604780032.0000
2026-07-27 14:35:00,7191.708,7197.364,7191.583,7195.402,105906200,1788608512.0000
2026-07-27 14:36:00,7195.200,7199.094,7195.200,7197.972,96630000,1750794240.0000
2026-07-27 14:37:00,7196.901,7196.901,7189.601,7192.672,76980000,1560870912.0000
2026-07-27 14:38:00,7192.495,7200.323,7191.905,7200.323,81227400,1508638720.0000
2026-07-27 14:39:00,7200.736,7207.281,7200.736,7207.148,92969500,1919156224.0000
2026-07-27 14:40:00,7206.633,7206.633,7201.854,7206.206,84940900,1663893504.0000
2026-07-27 14:41:00,7205.953,7213.855,7205.953,7213.855,101901100,1967423488.0000
2026-07-27 14:42:00,7214.568,7218.619,7213.545,7218.619,98703000,1895956480.0000
2026-07-27 14:43:00,7219.591,7219.626,7214.615,7216.086,92862800,1921810432.0000
2026-07-27 14:44:00,7215.561,7216.395,7214.332,7214.984,86013700,1667235840.0000
2026-07-27 14:45:00,7214.833,7218.533,7214.145,7216.656,84443900,1637089280.0000
2026-07-27 14:46:00,7217.272,7217.939,7215.442,7215.946,87798300,1667530752.0000
2026-07-27 14:47:00,7215.694,7215.694,7213.054,7213.062,88683700,1662353408.0000
2026-07-27 14:48:00,7213.274,7215.791,7212.885,7215.584,91037900,1614938112.0000
2026-07-27 14:49:00,7215.507,7219.447,7215.507,7217.957,102592100,1981054976.0000
2026-07-27 14:50:00,7218.205,7221.786,7217.856,7220.089,113720700,1951858688.0000
2026-07-27 14:51:00,7220.517,7220.517,7215.735,7218.318,153642000,2467397632.0000
2026-07-27 14:52:00,7218.585,7220.368,7218.182,7220.368,112048400,2017263616.0000
2026-07-27 14:53:00,7220.991,7223.132,7220.206,7223.132,117173800,2067922944.0000
2026-07-27 14:54:00,7222.778,7222.897,7221.735,7222.848,123200400,2129395712.0000
2026-07-27 14:55:00,7222.830,7224.586,7222.251,7223.815,141205000,2377383936.0000
2026-07-27 14:56:00,7223.915,7223.915,7223.005,7223.476,161237100,2774171648.0000
2026-07-27 14:57:00,7223.614,7225.320,7223.614,7225.320,170774900,2786689024.0000
2026-07-27 14:58:00,7225.598,7225.662,7225.598,7225.662,12473800,190185472.0000
2026-07-27 15:00:00,7226.772,7228.784,7226.772,7228.784,243618600,3986882560.0000
2026-07-28 09:31:00,7135.735,7140.671,7127.736,7128.824,1000622200,19063584768.0000
2026-07-28 09:32:00,7129.809,7150.951,7129.809,7145.303,619791500,11566225408.0000
2026-07-28 09:33:00,7147.177,7157.341,7137.718,7155.944,406950000,7979245568.0000
2026-07-28 09:34:00,7156.432,7160.468,7151.597,7160.468,353693800,6442635264.0000
2026-07-28 09:35:00,7160.917,7171.628,7160.917,7171.628,364975100,6322327552.0000
2026-07-28 09:36:00,7174.784,7187.712,7171.490,7177.899,419230200,7393718272.0000
2026-07-28 09:37:00,7178.791,7189.174,7178.791,7182.124,293551800,5627764736.0000
2026-07-28 09:38:00,7184.492,7185.798,7174.132,7182.606,286587400,5204951040.0000
2026-07-28 09:39:00,7183.561,7185.150,7171.145,7181.854,285138400,4954677248.0000
2026-07-28 09:40:00,7181.310,7187.425,7172.081,7174.046,241812200,4438482944.0000
2026-07-28 09:41:00,7173.017,7181.477,7172.490,7181.477,247081600,4215652352.0000
2026-07-28 09:42:00,7182.485,7186.105,7168.860,7168.860,229923000,4026089472.0000
2026-07-28 09:43:00,7165.628,7165.898,7159.229,7162.451,246845700,4087357440.0000
2026-07-28 09:44:00,7161.067,7184.697,7160.283,7180.287,196756700,3644866560.0000
2026-07-28 09:45:00,7182.178,7183.605,7170.824,7174.681,193677600,3155836928.0000
2026-07-28 09:46:00,7174.012,7178.211,7165.991,7177.589,209155500,3588153344.0000
2026-07-28 09:47:00,7175.323,7175.323,7162.204,7166.045,228609600,3650707456.0000
2026-07-28 09:48:00,7165.373,7169.813,7156.474,7156.474,186332700,3341090816.0000
2026-07-28 09:49:00,7155.939,7160.257,7150.871,7159.428,188719300,3511697408.0000
2026-07-28 09:50:00,7160.443,7170.923,7153.713,7169.744,264730800,4134789120.0000
2026-07-28 09:51:00,7168.950,7181.927,7168.198,7177.035,216071000,3368493056.0000
2026-07-28 09:52:00,7173.962,7181.429,7172.580,7181.429,201937500,3231809536.0000
2026-07-28 09:53:00,7179.546,7179.546,7152.088,7153.074,232423600,4307156992.0000
2026-07-28 09:54:00,7152.260,7162.447,7149.199,7160.984,167790300,3041271808.0000
2026-07-28 09:55:00,7161.324,7169.737,7161.324,7168.785,145960400,2541576192.0000
2026-07-28 09:56:00,7169.016,7181.414,7169.016,7172.699,138396200,2452553728.0000
2026-07-28 09:57:00,7171.750,7171.750,7156.198,7157.742,150425800,2582560768.0000
2026-07-28 09:58:00,7158.528,7164.517,7158.528,7162.489,111448400,2078162944.0000
2026-07-28 09:59:00,7159.726,7164.407,7157.944,7161.882,108585300,2036285440.0000
2026-07-28 10:00:00,7161.926,7164.686,7153.974,7163.105,125469900,2285207552.0000
2026-07-28 10:01:00,7162.272,7178.696,7155.088,7176.588,137175400,2458058752.0000
2026-07-28 10:02:00,7178.842,7180.380,7173.455,7176.461,127801300,2493939712.0000
2026-07-28 10:03:00,7176.669,7177.985,7171.988,7173.396,115332700,2077442048.0000
2026-07-28 10:04:00,7173.921,7182.797,7171.425,7172.994,117762300,2074017792.0000
2026-07-28 10:05:00,7172.597,7172.597,7162.203,7164.756,92180800,1772765184.0000
2026-07-28 10:06:00,7163.596,7169.024,7158.619,7161.668,99461400,1836351488.0000
2026-07-28 10:07:00,7162.305,7163.519,7153.470,7157.260,102183400,1738031104.0000
2026-07-28 10:08:00,7157.330,7158.263,7150.353,7153.472,84609500,1599799296.0000
2026-07-28 10:09:00,7154.193,7165.616,7153.646,7158.756,92645500,1623326720.0000
2026-07-28 10:10:00,7157.552,7157.552,7144.886,7146.905,97836800,1655652352.0000
