day,open,high,low,close,volume,amount
2026-06-09 14:50:00,2842.103,2844.234,2842.103,2843.006,103658100,3079258112.0000
2026-06-09 14:55:00,2842.579,2843.192,2841.403,2841.403,118815900,3442229248.0000
2026-06-09 15:00:00,2841.298,2844.059,2841.289,2842.694,114951800,3172843520.0000
2026-06-10 09:35:00,2829.649,2844.234,2826.860,2844.234,347285000,15452290048.0000
2026-06-10 09:40:00,2844.129,2853.907,2844.129,2851.120,232846100,11265635328.0000
2026-06-10 09:45:00,2850.969,2854.599,2849.851,2853.175,194429000,8325394432.0000
2026-06-10 09:50:00,2853.807,2859.924,2853.807,2858.864,176474900,8058671104.0000
2026-06-10 09:55:00,2858.328,2858.687,2849.553,2850.187,162810400,6292324352.0000
2026-06-10 10:00:00,2850.102,2853.336,2848.919,2852.597,208204400,5329330176.0000
2026-06-10 10:05:00,2851.860,2852.387,2847.098,2847.770,173406900,5331890176.0000
2026-06-10 10:10:00,2847.916,2850.415,2844.515,2845.333,204029200,5160075264.0000
2026-06-10 10:15:00,2845.577,2847.486,2845.289,2845.550,208761400,4885028864.0000
2026-06-10 10:20:00,2845.494,2848.660,2845.313,2847.277,180247000,3964919808.0000
2026-06-10 10:25:00,2847.351,2849.014,2845.476,2847.000,131232400,3554623488.0000
2026-06-10 10:30:00,2847.130,2847.922,2844.336,2846.566,147077800,4286464000.0000
2026-06-10 10:35:00,2846.048,2848.173,2844.334,2846.296,154178200,3884425216.0000
2026-06-10 10:40:00,2846.037,2846.037,2839.343,2839.353,128964900,3046965248.0000
2026-06-10 10:45:00,2839.311,2848.204,2839.127,2847.019,104145500,2989449216.0000
2026-06-10 10:50:00,2847.039,2851.477,2846.921,2850.447,112329500,3432022016.0000
2026-06-10 10:55:00,2850.471,2852.420,2845.273,2845.367,81841700,2235006976.0000
2026-06-10 11:00:00,2845.361,2845.599,2843.723,2844.600,99952700,2380595200.0000
2026-06-10 11:05:00,2844.480,2850.173,2844.181,2847.415,96275700,2225176576.0000
2026-06-10 11:10:00,2848.587,2850.494,2847.467,2850.494,80360800,2114805760.0000
2026-06-10 11:15:00,2850.197,2852.856,2847.912,2852.578,124116200,2515746816.0000
2026-06-10 11:20:00,2852.702,2855.757,2852.343,2853.177,96165900,2648883200.0000
2026-06-10 11:25:00,2852.910,2853.153,2848.892,2850.844,82725400,2094661632.0000
2026-06-10 11:30:00,2850.755,2855.840,2850.755,2852.928,86630300,2432892928.0000
2026-06-10 13:05:00,2852.145,2852.145,2840.742,2843.568,157467300,4494598144.0000
2026-06-10 13:10:00,2843.458,2845.088,2841.646,2841.646,69942300,1974804480.0000
2026-06-10 13:15:00,2842.048,2842.790,2838.287,2840.002,95602100,2561613824.0000
2026-06-10 13:20:00,2840.278,2842.202,2839.483,2842.194,70773800,2116542464.0000
2026-06-10 13:25:00,2842.579,2844.891,2839.625,2843.984,84178000,2413666304.0000
2026-06-10 13:30:00,2844.090,2846.260,2840.833,2846.108,81832800,2239217664.0000
2026-06-10 13:35:00,2846.016,2846.016,2842.383,2843.350,82295900,2397945856.0000
2026-06-10 13:40:00,2843.409,2846.526,2842.596,2845.232,78058400,2126405632.0000
2026-06-10 13:45:00,2845.648,2851.829,2845.648,2847.528,94516300,2428698624.0000
2026-06-10 13:50:00,2847.266,2848.542,2840.818,2841.020,79823200,2194235392.0000
2026-06-10 13:55:00,2840.916,2845.041,2838.698,2844.459,82606900,2263367680.0000
2026-06-10 14:00:00,2844.478,2852.276,2844.478,2852.165,73977500,2035105792.0000
2026-06-10 14:05:00,2852.099,2852.099,2847.475,2847.475,91079300,2320039936.0000
2026-06-10 14:10:00,2847.729,2852.422,2845.644,2849.698,68869200,1725464576.0000
2026-06-10 14:15:00,2849.428,2850.444,2846.221,2846.319,62485800,1618395136.0000
2026-06-10 14:20:00,2846.245,2850.775,2845.595,2850.613,67669100,1767063552.0000
2026-06-10 14:25:00,2850.800,2853.381,2848.966,2849.605,81598100,2308292608.0000
2026-06-10 14:30:00,2849.433,2850.733,2848.756,2850.637,72871600,1829224448.0000
2026-06-10 14:35:00,2850.401,2853.008,2850.318,2850.463,97913100,2554560512.0000
2026-06-10 14:40:00,2850.662,2852.385,2849.680,2849.945,101999400,2529640448.0000
2026-06-10 14:45:00,2849.887,2850.430,2847.983,2850.054,124888200,3191226368.0000
2026-06-10 14:50:00,2849.774,2850.939,2849.344,2850.675,147607500,3323510784.0000
2026-06-10 14:55:00,2850.412,2851.613,2850.412,2850.606,171588600,3993845760.0000
2026-06-10 15:00:00,2850.462,2850.549,2849.700,2850.369,143582000,3318136832.0000
2026-06-11 09:35:00,2842.671,2852.208,2840.776,2843.845,464644000,13514804224.0000
2026-06-11 09:40:00,2844.966,2849.048,2843.095,2846.988,331004500,8462380032.0000
2026-06-11 09:45:00,2847.677,2848.751,2845.347,2846.560,269283700,7239092224.0000
2026-06-11 09:50:00,2847.049,2848.394,2843.319,2846.552,219698800,6112849920.0000
2026-06-11 09:55:00,2846.545,2846.647,2843.211,2844.327,184744000,4896915456.0000
2026-06-11 10:00:00,2844.363,2845.744,2837.668,2842.250,193164700,4996927488.0000
2026-06-11 10:05:00,2842.010,2842.283,2838.222,2838.450,156245800,4057849856.0000
2026-06-11 10:10:00,2838.398,2838.540,2834.059,2835.938,118539200,3478388736.0000
2026-06-11 10:15:00,2835.407,2835.596,2832.479,2832.479,97525000,2672476160.0000
2026-06-11 10:20:00,2832.459,2832.507,2828.980,2828.980,102071300,2934333440.0000
2026-06-11 10:25:00,2829.186,2833.234,2828.979,2832.191,97353600,2823614464.0000
2026-06-11 10:30:00,2832.432,2833.241,2829.473,2830.945,77144700,2133762048.0000
2026-06-11 10:35:00,2831.172,2833.477,2829.742,2829.880,92401600,2556526592.0000
2026-06-11 10:40:00,2830.132,2832.827,2830.132,2830.547,66143000,2002403328.0000
2026-06-11 10:45:00,2830.906,2832.046,2829.695,2830.810,83397200,2209558528.0000
2026-06-11 10:50:00,2830.631,2833.607,2829.058,2833.505,79904200,2518401024.0000
2026-06-11 10:55:00,2834.016,2835.948,2830.374,2830.494,74570100,2657222656.0000
2026-06-11 11:00:00,2830.252,2836.755,2830.152,2835.068,64833700,2158673920.0000
2026-06-11 11:05:00,2835.240,2835.377,2831.762,2834.701,85646800,2033434624.0000
2026-06-11 11:10:00,2835.121,2835.641,2832.035,2832.505,68927500,1845567488.0000
2026-06-11 11:15:00,2832.286,2832.286,2828.623,2831.655,67789100,2038169600.0000
2026-06-11 11:20:00,2831.263,2832.576,2829.167,2829.520,67154900,1996144640.0000
2026-06-11 11:25:00,2829.245,2831.642,2827.859,2831.385,64563400,2000494592.0000
2026-06-11 11:30:00,2831.433,2833.493,2830.013,2832.832,63021300,1749590016.0000
2026-06-11 13:05:00,2833.682,2846.039,2833.682,2838.374,173442000,4259414016.0000
2026-06-11 13:10:00,2838.196,2840.079,2835.153,2837.371,65120000,1879695360.0000
2026-06-11 13:15:00,2837.075,2842.698,2837.036,2840.875,82193500,2421825536.0000
2026-06-11 13:20:00,2840.836,2842.400,2838.584,2839.945,66970900,2119630848.0000
