day,open,high,low,close,volume,amount
2026-06-09 14:50:00,4799.671,4802.461,4799.435,4801.442,501388100,14061535232.0000
2026-06-09 14:55:00,4800.716,4800.767,4798.076,4799.862,596551400,16284581888.0000
2026-06-09 15:00:00,4799.619,4802.505,4799.453,4801.811,609339500,16255746048.0000
2026-06-10 09:35:00,4753.115,4760.856,4745.497,4760.856,2145214100,71056932864.0000
2026-06-10 09:40:00,4760.275,4768.348,4760.275,4767.190,1546817000,44270747648.0000
2026-06-10 09:45:00,4766.948,4779.361,4764.908,4777.234,1210561700,34927411200.0000
2026-06-10 09:50:00,4777.652,4786.516,4776.449,4785.315,946946400,30257086464.0000
2026-06-10 09:55:00,4784.944,4785.366,4774.171,4776.033,805872700,24730370048.0000
2026-06-10 10:00:00,4775.230,4775.599,4767.474,4772.854,956605100,24434393088.0000
2026-06-10 10:05:00,4772.135,4772.953,4760.800,4761.431,740647900,21100363776.0000
2026-06-10 10:10:00,4761.503,4764.110,4754.836,4756.951,768887100,20683014144.0000
2026-06-10 10:15:00,4757.512,4761.816,4754.825,4756.336,674093300,17416208384.0000
2026-06-10 10:20:00,4756.065,4765.487,4756.065,4761.526,627364400,15585280000.0000
2026-06-10 10:25:00,4760.910,4764.877,4755.230,4755.230,522630000,14602305536.0000
2026-06-10 10:30:00,4755.161,4756.080,4746.720,4747.125,492010700,15200485376.0000
2026-06-10 10:35:00,4746.069,4751.534,4744.369,4748.011,592313800,14513569792.0000
2026-06-10 10:40:00,4747.985,4747.985,4736.142,4736.142,499635500,12713721856.0000
2026-06-10 10:45:00,4736.225,4751.986,4735.958,4747.808,469592100,11602198528.0000
2026-06-10 10:50:00,4747.471,4758.030,4747.362,4755.908,419087200,11168743424.0000
2026-06-10 10:55:00,4755.997,4759.600,4744.713,4744.713,379853700,9007890432.0000
2026-06-10 11:00:00,4744.432,4744.432,4738.923,4743.757,350869800,9043738624.0000
2026-06-10 11:05:00,4743.662,4755.478,4741.792,4748.000,350914900,8576499712.0000
2026-06-10 11:10:00,4750.268,4752.273,4747.379,4750.995,329118400,7599128576.0000
2026-06-10 11:15:00,4750.756,4756.923,4744.542,4756.814,467956800,9213771776.0000
2026-06-10 11:20:00,4757.067,4761.954,4755.841,4756.384,326835000,8655077376.0000
2026-06-10 11:25:00,4755.923,4755.923,4745.330,4747.689,295173900,8357249024.0000
2026-06-10 11:30:00,4748.029,4759.246,4748.029,4754.796,327451200,8144191488.0000
2026-06-10 13:05:00,4753.614,4753.614,4731.273,4736.501,764866800,19540443136.0000
2026-06-10 13:10:00,4736.977,4744.085,4735.694,4735.694,325594500,8606187520.0000
2026-06-10 13:15:00,4736.157,4736.442,4726.237,4730.020,426395300,10443030528.0000
2026-06-10 13:20:00,4730.643,4734.756,4729.234,4734.721,312617900,8126234624.0000
2026-06-10 13:25:00,4735.211,4738.099,4727.820,4736.431,393412300,9130115072.0000
2026-06-10 13:30:00,4735.872,4739.675,4731.240,4739.601,323736400,7862943744.0000
2026-06-10 13:35:00,4739.114,4739.560,4730.442,4730.766,382269900,10133471232.0000
