day,open,high,low,close,volume,amount
2026-06-09 14:50:00,3958.733,3962.898,3957.864,3961.244,444880296,14699855872.0000
2026-06-09 14:55:00,3959.945,3961.689,3957.280,3960.729,589004412,18321506304.0000
2026-06-09 15:00:00,3960.454,3962.077,3958.844,3961.749,573064008,17834246144.0000
2026-06-10 09:35:00,3897.730,3903.752,3873.613,3890.590,2101557433,76560408576.0000
2026-06-10 09:40:00,3890.536,3900.467,3885.814,3898.253,1294366645,41299582976.0000
2026-06-10 09:45:00,3896.496,3928.360,3894.523,3924.757,1013083105,33138933760.0000
2026-06-10 09:50:00,3925.209,3927.053,3918.180,3923.902,854939554,26700431360.0000
2026-06-10 09:55:00,3923.392,3925.290,3911.827,3915.930,695740857,23345463296.0000
2026-06-10 10:00:00,3915.569,3915.580,3884.754,3896.285,643724168,22329262080.0000
2026-06-10 10:05:00,3893.756,3903.306,3880.553,3882.019,599427943,20497219584.0000
2026-06-10 10:10:00,3882.267,3888.947,3877.730,3881.229,538988094,17046519808.0000
2026-06-10 10:15:00,3881.867,3887.959,3876.492,3879.039,470605895,14472970240.0000
2026-06-10 10:20:00,3878.930,3893.892,3878.930,3886.931,518438671,14979530752.0000
2026-06-10 10:25:00,3884.951,3890.886,3873.523,3873.523,452050087,13715800064.0000
2026-06-10 10:30:00,3872.091,3875.511,3855.128,3855.128,411422368,13808500736.0000
2026-06-10 10:35:00,3854.882,3862.672,3852.532,3856.332,449810258,13333823488.0000
2026-06-10 10:40:00,3856.519,3860.423,3844.591,3845.165,399773446,11234344960.0000
2026-06-10 10:45:00,3845.137,3864.745,3845.137,3859.373,341235371,10318184448.0000
2026-06-10 10:50:00,3863.177,3873.508,3860.841,3869.368,324564017,9731768320.0000
2026-06-10 10:55:00,3869.576,3875.454,3856.041,3856.041,283122361,8892710912.0000
2026-06-10 11:00:00,3856.016,3856.016,3846.645,3854.671,278999784,8561655808.0000
2026-06-10 11:05:00,3852.999,3871.427,3851.033,3864.589,284932348,8807612416.0000
2026-06-10 11:10:00,3865.314,3867.341,3859.127,3862.878,246043336,7159873536.0000
2026-06-10 11:15:00,3861.786,3875.632,3854.887,3875.632,300740141,8754233344.0000
2026-06-10 11:20:00,3876.007,3881.733,3873.116,3873.116,229214023,8271233024.0000
2026-06-10 11:25:00,3873.050,3873.050,3858.463,3862.215,239777967,7664500736.0000
2026-06-10 11:30:00,3865.135,3878.087,3865.135,3870.834,198635592,6843203584.0000
2026-06-10 13:05:00,3859.895,3859.895,3841.178,3850.051,527728740,17892671488.0000
2026-06-10 13:10:00,3850.153,3862.318,3850.005,3850.248,269558718,8992489472.0000
2026-06-10 13:15:00,3850.935,3851.754,3836.337,3844.558,293414160,9547513856.0000
2026-06-10 13:20:00,3844.893,3850.754,3840.693,3849.164,216061923,7303790592.0000
2026-06-10 13:25:00,3849.816,3850.749,3838.872,3845.961,278021536,8357216256.0000
2026-06-10 13:30:00,3845.445,3852.875,3841.851,3851.294,226272027,6470598656.0000
2026-06-10 13:35:00,3851.136,3852.077,3836.977,3836.977,268087634,8326348800.0000
2026-06-10 13:40:00,3835.873,3842.860,3833.386,3836.316,268924849,8448278528.0000
2026-06-10 13:45:00,3837.049,3848.559,3837.049,3839.100,230477973,7439056896.0000
2026-06-10 13:50:00,3838.800,3842.908,3822.014,3822.108,264368144,8487600128.0000
2026-06-10 13:55:00,3822.330,3833.853,3818.312,3833.167,272126049,8482160640.0000
2026-06-10 14:00:00,3833.290,3857.195,3833.290,3857.063,250681167,7672397824.0000
